City,Datetime,Tweet Id,Text,Username
Geelong,2021-02-26 21:02:07+00:00,1365406813751926786,Stunning numbers. How many films will they make about #COVID19 ? U.S. Deaths From Covid-19 Match Toll Of Three Major Wars https://t.co/ODbRHafodP,heyspan
Geelong,2021-02-12 03:06:57+00:00,1360062810483421190,Online cardio fitness sessions are available if anyone would like to join. Will vary in intensity and length. #FitnessMotivation #COVID19Vic #COVID19,RichardColman84
Geelong,2021-01-27 20:47:40+00:00,1354531541548822531,Interesting study on best and worst at handling #COVID19 https://t.co/FqyGI5g7OL,samrotberg
Geelong,2020-12-29 21:27:10+00:00,1344032233993060352,"That travelling feeling. Back to Sydney, after a car ride, train, bus, friend pick up (most likely on a horse) then plane &amp; another train. 
No new cases of #Covid19 in Vic so no border closures. Phew https://t.co/rlWkV9teUI",Peter_Deppeler
Geelong,2020-12-17 21:52:27+00:00,1339689944659324929,"@ScottMorrisonMP 
Why aren't international fights ensured to have no covid? 2weeks in a manned isolation in hotels next to airports with tests before international flights. Then 2 weeks manned isolation in hotel in Australia 
This shall make money 2go around + no covid19 spread.",earth1helper
Geelong,2020-12-17 21:32:56+00:00,1339685031405502464,"@VicFisheries why? when commercial fishermen were caught overfishing=Why wasn't vessel/s &amp; equipment confiscated?
This yr commercial fishermen did not have2 pay:their licences+bought= new larger equipment2 rake shorelines, boat motors/beachfront homes: fished illegally during covid19 lockdown",earth1helper
Geelong,2020-12-10 13:07:13+00:00,1337021049012060161,"To all my American followers, take it from Australia...Covid is real, it kills people, wearing masks and social distancing does indeed prevent its spread.
Please let go of these warped interpretations of personal freedoms &amp; democratic rights!
#COVID19 

https://t.co/stlajsYtRq",MitchXXVI
Geelong,2020-12-08 06:10:49+00:00,1336191483657867265,"To all the #AntiLockdown/#AntiVaxxer idiots out there...at present one person dies from #COVID19 every 30 seconds in America.
So please, stay home, wear a mask, follow medical advice (NOT THE ADVICE OF PEOPLE ON FACEBOOK) and when a #CovidVaccine is available to you...TAKE IT!!!! https://t.co/11caOPfCcj",MitchXXVI
Geelong,2020-12-05 21:07:20+00:00,1335329937213906944,He was in bloody Hawaii. He then forced himself on people for photo ops. Then he had to be dragged to the table to do something about #covid19 https://t.co/C8Srtr5cnU,DancingDanB
Geelong,2020-11-23 10:36:53+00:00,1330822624436318213,"Wear a mask. It protects you, and protects everyone else. Stay safe 💞 #StaySafe #MaskUp #WearAMask #WearMaskDefeatCorona #SocialDistancing #COVID19 #geelong #melbourne #australia https://t.co/3Kz88mf1mi",susana__lopes
Geelong,2020-11-11 01:53:04+00:00,1326342144362123264,A lot would say that we weren't ready for this covid19 pandemic but other than we learnt a lot about conditions &amp; despair in process.,5thDanBeats
Geelong,2020-11-05 10:04:45+00:00,1324291556803637248,Great to see this messaging just released by @VicGovDHHS #COVID19 #COVID19Vic https://t.co/fOeq84kt5V,janespeight
Geelong,2020-11-01 03:36:27+00:00,1322744282516578307,Way to go Australia! Let’s keep up the great work to see the back of #COVID19 so we can welcome 2021 with confidence and freedom 😃 https://t.co/egKeKGdVUP,janespeight
Geelong,2020-10-29 05:52:54+00:00,1321691458911444993,"Yesterday, Geelong Galaxy FC was featured by Sandybay media.

Marina, Rob, &amp; Nick covered topics such as Covid19 impact and preparations for next season.

https://t.co/TBE86LHByz

#nplw #vplw #jgnpl https://t.co/qrs0Fku06n",gufootball
Geelong,2020-10-28 19:40:49+00:00,1321537422866313216,"In an extraordinary year, health psychologists are playing a vital role in the response to #COVID19 - read more here via @BPSOfficial @divhealthpsych 
https://t.co/1rSLCZPgep",ACBRD
Geelong,2020-10-02 05:59:38+00:00,1311908683320717312,Simultaneous schadenfreude on all platforms 😱#covid19 #misfortune #Trump,JackiMitchellAU
Geelong,2020-09-30 10:44:13+00:00,1311255522046177281,Guessing the washing your hands hasn’t taken off on #TheBlock #TheBlockAU #COVID19,anotherpaul_11
Geelong,2020-09-14 21:08:15+00:00,1305614361185013764,Thanks @cpark_stories for this #leadership Finding productive impacts in our simulation practices during #Covid19  @STEL_BMJ @ASPiHUK @AspihTechSig @SESAMSimulation @ASSH_simaust @ASPE_Tweets @INACSL hoping the recording will be available for those outside time zone https://t.co/y4pcHQpxwQ,DebraNestel
Geelong,2020-09-10 00:39:27+00:00,1303855570986831872,"Why do I feel like the #DuneMovie is a scary prediction of a post-#COVID19 world😬

https://t.co/adRfdwa7Ik",MitchXXVI
Geelong,2020-09-09 01:20:35+00:00,1303503537075154945,"One person out of 50,000...calm down people!
#COVID19Aus #COVID19 #CovidVaccine #oxfordvaccine https://t.co/rcYecKnxzM",MitchXXVI
Geelong,2020-09-06 10:47:08+00:00,1302558950080933889,@#deepstate if COVID19 was a plan to introduce a universal wage / income then bring it on,Hemanmou
Geelong,2020-09-06 04:36:53+00:00,1302465772434812929,@realDonaldTrump how many COVID19 deaths a day in America is acceptable to you?,Hemanmou
Geelong,2020-08-30 21:20:58+00:00,1300181742674800640,I think we need to see an end to border closures and lockdowns. At some stage we are going to need to learn to live with Covid19. Lockdowns are only a temporary fix. Not seeing family is wrong and damn criminal. #OpenTheCountry,MicLarkinsPhoto
Geelong,2020-08-25 07:36:25+00:00,1298162297769062401,"Romance in 2020??

#COVID19 #romantic #mask #handsanitizer #tissues https://t.co/8hS3Dc1yEx",rikashears
Geelong,2020-08-24 09:30:18+00:00,1297828570023317505,"The most money I've made during Covid19, Winners are grinners... @ Point Cook, Victoria https://t.co/1H4JTP3t13",adbOne
Geelong,2020-08-17 00:57:35+00:00,1295162828773445632,Friends: on the 3rd Sep I’m on a great panel to discuss the future of our society post #COVID19 . It’s a free event so please join us for a thought provoking night. Our MC is the dynamic @Kate_Roffey also a member of Wyndham’s ELT. @KellyGrigsbyCEO https://t.co/VJggyDYshy,LudoCReid
Geelong,2020-08-14 09:49:31+00:00,1294209527512997888,"Friday night lockdown style #chimena #furphybeer #lockdown #covid19 @ Point Cook, Victoria https://t.co/dnGKaxe6u6",gussyboy81
Geelong,2020-08-12 09:45:45+00:00,1293483803151720450,"Teieniwa Vision on anti-corruption recognised by Pacific Economic Ministers. #2020FEMM Statement on Impacts of #COVID19 on the #Pacific articulating key priorities of @ForumSEC Members on the road to recovery. #Kiribati #UNPRAC @MFATNZ
@dfat #SDG16
#UNCAC https://t.co/KoOLSwE87P",JohnHydePerth
Geelong,2020-08-10 05:10:41+00:00,1292689804703010822,Lunch out these days! lol #cheatday 😬 #lunchout #sunnyday #covid19 #stagethreelockdown @ Waurn Ponds Creek https://t.co/ppQTyv9lw2,claireannv
